# ========== Default English Language File for TabNotepad ==========
# The language parse will ignore:
# - Lines with less than 10 charts
# - Lines that starts with '#'
# To add newline to string, you can use '%n' token.
# $1, $2 etc.. will be replaced with some value

#
# Text editor tab
#
# -Buttons
TextEditMain_OpenFile;Open File
TextEditMain_SaveFileAs;Save As...
TextEditMain_SaveFile;Save
TextEditMain_ExtraMenu;Extra
TextEditMain_NewPageButton;New File
# -ExtraMenuItems
TextEditMain_ExtraMenu_Encoding;Encoding
TextEditMain_ExtraMenu_Run;Run
TextEditMain_ExtraMenu_Settings;Settings
TextEditMain_ExtraMenu_PinDocument;Pin File
TextEditMain_ExtraMenu_SavePath;Save Path
# -Message Box
TextEditMain_ReloadAfterEncodingChange_Text;Do you want to reload after changing encoding?
TextEditMain_ReloadAfterEncodingChange_Title;Reload After Encoding Change
TextEditMain_UnsavedStatusTimeFormatInfo_Text;Time format Hours:minutes:seconds
TextEditMain_UnsavedStatusTimeFormatInfo_Title;About Unsaved Time Format
TextEditMain_CantShowCurrentSavingPath_Text;Can't show current path for saving because this file has been not saved!
TextEditMain_CurrentSavingPath_Title;Current path for saving
# -Unsaved Status
TextEditMain_UnsavedStatus;Unsaved
TextEditMain_UnsavedStatusInLast;Unsaved (in last $1)
TextEditMain_SavedStatus;Saved
# -Tab Title
TextEditMain_UntitledTab;Untitled File
# -Encoding Status
TextEditMain_EncodingNotSetStatus;Encoding not set.

#
# Homescreen
#
# -Buttons
PinnedDocuments_ReloadListButton;Reload Documents
PinnedDocuments_SaveChangesButton;Save Changes
PinnedDocuments_RollbackChangesButton;Rollback Changes
PinnedDocuments_OpenPinDocButton;Open
PinnedDocuments_EditPinDocButton;Edit
PinnedDocuments_RemovePinDocButton;Remove
# -Labels
PinnedDocuments_TipPinLabel_NoPinnedDocuments;You didn't pinned any%nfile yet.
PinnedDocuments_TipPinLabelText;You can pin a file at%nExtra -> Pin Document
PinnedDocuments_PinDocsTitle;Pinned files
# -Dialog Box Messages
PinnedDocuments_SaveChangesDialogBox_Text;Are you sure you want to save all changes?%nAfter saving, you cannot rollback anymore
PinnedDocuments_SaveChangesDialogBox_Title;Save Changes
PinnedDocuments_RollbackChangesDialogBox_Text;Are you sure you want to rollback?%nAny unsaved changes will be lost.
PinnedDocuments_RollbackChangesDialogBox_Title;Rollback
PinnedDocuments_RollbackChangesDialogBox_Title;Rollback
PinnedDocuments_DeleteMultiplePinsDialogBox_Text;Are you sure you want to delete multiple pins?%n%nIf you did a mistake, you can rollback
PinnedDocuments_DeleteMultiplePinsDialogBox_Title;Delete multiple pins
PinnedDocuments_OpenMultipleDocuments_Text;Are you sure you want to open multiple documents?%nThis operation can take a while
PinnedDocuments_OpenMultipleDocuments_Title;Open Multiple Documents
PinnedDocuments_EditMultiplePins_Text;Editing multiple pins is not allowed.
PinnedDocuments_EditMultiplePins_Title;Edit Multiple pins
# $1 = PinName to be deleted
PinnedDocuments_DeleteSinglePinDialogBox_Text;Are you sure you want to delete '$1'?%n%nIf you did a mistake, you can rollback
PinnedDocuments_DeleteSinglePinDialogBox_Title;Delete Pin
# -ListView Category
PinnedDocuments_ListViewCollumsText_PinName;Pin
PinnedDocuments_ListViewCollumsText_FilePath;File Path


#
# About
#
About_WindowTitle;About TabNotepad
About_MainDesc;Powered by Windows Forms made in C# using%nVisual Studio 2019 Community
About_BuildNumber;Build Number:
About_BuildDate;Build Date:
About_LogoClickText;TabNotepad is part of Taiyou Software Packpage.
About_LogoClickTitle;About

#
# Settings -> UI Settings
#
# -Groupbox Title
Settings_UISettings_Hometab;Hometab
Settings_UISettings_SaveWarning;Save Warning
Settings_UISettings_LanguageSetting;Language Settings
# -Labels
Settings_UISettings_SaveWarningIntervalInfoLabel;Interval (in seconds)
Settings_UISettings_LanguageSettingsInfoLabel;Language Settings are located at Language Settings Window
# -Checkbox
Settings_UISettings_SaveWarningCheckbox;Show the time a document has been not saved%non statusbar
Settings_UISettings_HometabAsDefaultCheckbox;Use hometab as default tab

#
# Settings -> Text Editor
#
Settings_TextEditor_WordWrapGroupBoxTitle;Word Wrap
Settings_TextEditor_WordWrapEnabled;Enabled
Settings_TextEditor_WordWrapToggleButton;Toggle

#
# Encoding Selector
#
# -Label
EncodingSelector_EncodingInfosLabel;Encoding
# -RadioButton
EncodingSelector_SetSelectedEncodingRadioButton;Set selected encoding as default for new files.
# -Button
EncodingSelector_ExitSaveButton;Exit and Save
# -Window Title
EncodingSelected_WindowTitle;Select Encoding

#
# Pin Documents Window
#
PinDocument_WindowTitle;Pin File
PinDocument_PinNameLabel;Name:
PinDocument_PinDocButton;Save and Exit

#
# Generic/Global
#
LanguageChangeMessageBox_Text;Current language has been switched to 'English'%nRestart the application to properly apply current language.
LanguageChangeMessageBox_Title;Language Switched
Generic_Settings;Settings

#
# Side Bar Drag Drop
#
# -Message Box
DragDrop_OpenMultipleFiles_Text;Are you sure you want to open multiple files?
DragDrop_OpenMultipleFiles_Title;Drag Drop Multiple Files


#
# Language Settings Window
#
# - Buttons
LanguageSettings_ConfirmButton;Confirm
LanguageSettings_ExitButton;Exit
# - Labels
LanguageSettings_CurrentLanguageLabel;Current Language:
LanguageSettings_AvaliableLanguageFiles;Avaliable language files
LanguageSettings_WindowTitle;Language Settings
