# ========== Idioma Portugues para TabNotepad ==========
# O parser do idioma vai ignorar:
# - Linhas com menos de 10 caracteres
# - Linhas que começam com '#'
# Para adiciona uma nova linha, utilize o token '%n'
# $1, $2 etc.. irá ser substituido por algum valor, dependendo do contexto
#

#
# Text editor tab
#
# -Buttons
TextEditMain_OpenFile;Abrir Arquivo
TextEditMain_SaveFileAs;Salvar Como...
TextEditMain_SaveFile;Salvar
TextEditMain_ExtraMenu;Extra
TextEditMain_NewPageButton;Novo Arquivo
# -ExtraMenuItems
TextEditMain_ExtraMenu_Encoding;Codificação
TextEditMain_ExtraMenu_Run;Executar
TextEditMain_ExtraMenu_Settings;Configuraçoes
TextEditMain_ExtraMenu_PinDocument;Fixar Arquivo
TextEditMain_ExtraMenu_SavePath;Caminho Atual
# -Message Box
TextEditMain_ReloadAfterEncodingChange_Text;Deseja recarregar apos mudar codificação?
TextEditMain_ReloadAfterEncodingChange_Title;Mudança de Codificação
TextEditMain_UnsavedStatusTimeFormatInfo_Text;Formato do tempo Horas:minutos:segundos
TextEditMain_UnsavedStatusTimeFormatInfo_Title;Sobre O tempo não salvo
TextEditMain_CantShowCurrentSavingPath_Text;Não é possivel mostrar o caminho atual para salvar porque este arquivo ainda não foi salvo
TextEditMain_CurrentSavingPath_Title;Caminho atual para salvar
# -Unsaved Status
TextEditMain_UnsavedStatus;Não-salvo!
TextEditMain_UnsavedStatusInLast;Não-salvo! (nos ultimos $1)
TextEditMain_SavedStatus;Salvo!
# -Tab Title
TextEditMain_UntitledTab;Arquivo sem titulo
# -Encoding Status
TextEditMain_EncodingNotSetStatus;Codificação não definida.


#
# Homescreen
#
# -Buttons
PinnedDocuments_ReloadListButton;Recarregar Pins
PinnedDocuments_SaveChangesButton;Salvar Alteraçoes
PinnedDocuments_RollbackChangesButton;Desfazer Alteraçoes
PinnedDocuments_OpenPinDocButton;Abrir
PinnedDocuments_EditPinDocButton;Editar
PinnedDocuments_RemovePinDocButton;Remover
# -Labels
PinnedDocuments_TipPinLabel_NoPinnedDocuments;Você não fixou nenhum arquivo.
PinnedDocuments_TipPinLabelText;Você pode fixar um arquivo em%nExtra -> Fixar Arquivo
PinnedDocuments_PinDocsTitle;Arquivos Fixados
# -Dialog Box Messages
PinnedDocuments_SaveChangesDialogBox_Text;Você tem certeza que deseja salvar todas as alteraçoes?%nApos salvar você não poderá desfazer.
PinnedDocuments_SaveChangesDialogBox_Title;Salvar Alteraçoes
PinnedDocuments_RollbackChangesDialogBox_Text;Você tem certeza que deseja desfazer?%nTodas as alteraçoes não-salvas serão perdidas.
PinnedDocuments_RollbackChangesDialogBox_Title;Desfazer
PinnedDocuments_DeleteMultiplePinsDialogBox_Text;Você tem certeza que deseja apagar multiplos arquivos fixos?%n%nSe você cometeu um erro, você ainda por desfazer
PinnedDocuments_DeleteMultiplePinsDialogBox_Title;Apagar multiplos Pins
PinnedDocuments_OpenMultipleDocuments_Text;Você tem certeza que deseja abrir multiplos arquivos?%nEsta operação pode demorar um pouco.
PinnedDocuments_OpenMultipleDocuments_Title;Abrir Multiplos Arquivos
PinnedDocuments_EditMultiplePins_Text;Editar multiplos pins não é permitido.
